resource_key	default_filename	source_kind	phase1_policy	required_for_gold
mcsa_curated_data	curated_data.csv	official_ebi_flat_file	CACHE_CHECK_ONLY	YES
mcsa_literature_pdb_residues	literature_pdb_residues.csv	official_ebi_flat_file	CACHE_CHECK_ONLY	YES
mcsa_literature_pdb_residues_roles	literature_pdb_residues_roles.csv	official_ebi_flat_file	CACHE_CHECK_ONLY	YES
mcsa_api_residues	api_residues.json	official_ebi_api	CACHE_CHECK_ONLY	YES
mcsa_api_entries	api_entries.json	official_ebi_api	CACHE_CHECK_ONLY	YES
